ticket_id,name,T1,T3,T4,T5,T51,T52,T53,T6,T61,T62
110107021030221, ,21,11,31,3,1,1,1,142,121,21
110107021030521, ,10,10,21,0,0,0,0,143,122,21
110107021030821, ,21,22,21,4,1.5,1,1.5,142,121,21
110107021031121, ,31,11,31,5,2,1,2,142,121,21
110107021031421, ,21,31,41,3.5,1.5,1,1,142,121,21
110107021031721, ,10,11,21,1.5,.5,.5,.5,30,10,20
110107021032021, ,21,21,31,4,1.5,1,1.5,143,121.5,21.5
110107021032321, ,31,11,31,297,99,99,99,198,99,99
110107021032621, ,31,31,21,4.5,1.5,1.5,1.5,141.5,121,20.5
110107021032921, ,31,21,31,3,1,1,1,142,121,21
110107021033221, ,21,10,31,3.5,1.5,1,1,30,10,20
110107021033521, ,11,21,99,3,1,1,1,143,122,21
110107021040221, ,99,99,99,297,99,99,99,198,99,99
110107021040521, ,21,99,99,297,99,99,99,198,99,99
110107021040821, ,31,11,31,1.5,.5,.5,.5,143,122,21
110107021041121, ,21,10,41,2,.5,.5,1,142,121,21
110107021041421, ,10,11,31,7,3,1.5,2.5,143,122,21
110107021041721, ,31,22,41,6.5,2,2,2.5,141.5,121,20.5
110107021042021, ,11,11,31,2.5,1,.5,1,143,122,21
110107021042321, ,31,12,31,4.5,1.5,1.5,1.5,142,121,21
110107021042621, ,99,99,99,297,99,99,99,198,99,99
110107021042921, ,21,31,31,2.5,1,1,.5,143,122,21
110107021043221, ,10,10,21,0,0,0,0,143,122,21
110107021043521, ,31,31,31,3,1,1,1,142,121,21
110107031010121, ,21,11,21,297,99,99,99,143,122,21
110107031010421, ,21,11,31,6,2,2,2,142.5,121.5,21
110107031010721, ,21,21,31,4.5,1.5,1.5,1.5,142,121,21
110107031011021, ,11,11,31,3,1,1,1,142.5,121.5,21
110107031011321, ,10,12,21,2,1,.5,.5,143,122,21
110107031011621, ,21,10,21,3,1,1,1,143,122,21
110107031011921, ,31,31,99,297,99,99,99,198,99,99
110107031012221, ,10,21,21,4,1.5,1,1.5,142,121,21
110107031012521, ,31,31,21,3,1,1,1,142,121,21
110107031012821, ,10,22,31,4,1.5,1.5,1,143,122,21
110107031013121, ,99,11,21,3.5,1,1,1.5,32,11,21
110107031013421, ,31,10,31,4.5,1.5,1.5,1.5,142,121,21
110107031020221, ,21,12,31,2.5,1,.5,1,142.5,121.5,21
110107031020521, ,31,11,31,4.5,2,1,1.5,143,122,21
110107031020821, ,10,99,12,297,99,99,99,30,10,20
110107031021121, ,10,12,21,297,99,99,99,198,99,99
110107031021421, ,11,11,21,4,1.5,1,1.5,142.5,121.5,21
110107031021721, ,99,99,99,297,99,99,99,198,99,99
110107031022021, ,10,11,31,3,1,1,1,143,122,21
110107031022321, ,10,21,21,4,1.5,1,1.5,142,121,21
110107031022621, ,10,21,31,6.5,2.5,1.5,2.5,142,121,21
110107031022921, ,21,12,31,3,1.5,1,.5,142.5,121.5,21
110107031023521, ,10,11,21,1.5,.5,.5,.5,30,10,20
110107031030321, ,99,11,21,0,0,0,0,30,10,20
110107031030621, ,99,99,99,297,99,99,99,198,99,99
110107031030921, ,31,11,21,4,1.5,1,1.5,30,10,20
110107031031221, ,11,99,99,297,99,99,99,198,99,99
110107031031521, ,11,99,12,0,0,0,0,30,10,20
110107031031821, ,99,12,11,0,0,0,0,30,10,20
110107031032421, ,21,31,31,297,99,99,99,198,99,99
110107031032721, ,99,99,21,.5,0,.5,0,30.5,10.5,20
110107031033021, ,11,31,21,297,99,99,99,198,99,99
110107031033621, ,99,11,21,2,1,.5,.5,30,10,20
110107041010321, ,21,31,21,0,0,0,0,30,10,20
110107041010621, ,11,11,31,1.5,.5,.5,.5,142,121,21
110107041010921, ,21,21,31,297,99,99,99,198,99,99
110107041011221, ,11,11,21,0,0,0,0,143,122,21
110107041011521, ,31,21,41,6,2,2,2,142,121,21
110107041011821, ,10,22,31,3.5,1,1,1.5,142,121,21
110107041012121, ,21,11,31,5,2,1,2,143,122,21
110107041012421, ,10,11,21,3.5,1.5,1,1,142,121,21
110107041012721, ,21,11,31,6.5,2.5,1.5,2.5,142,121,21
110107041013021, ,31,11,21,2.5,1,.5,1,142,121,21
110107041013321, ,99,21,31,5.5,2,1.5,2,142,121,21
110107041013621, ,21,11,31,2.5,1,.5,1,32,11,21
110107041020321, ,21,21,21,4.5,1.5,1.5,1.5,142.5,121.5,21
110107041020621, ,31,31,31,4.5,1.5,1.5,1.5,142.5,121.5,21
110107041020921, ,21,31,41,3,1,1,1,143,122,21
110107041021221, ,21,31,31,0,0,0,0,30,10,20
110107041021521, ,11,21,31,3.5,1.5,1,1,31.5,11,20.5
110107041021821, ,11,21,31,4,1.5,1,1.5,143,122,21
110107041022121, ,21,11,21,6,2,2,2,142,121,21
110107041022421, ,11,21,31,3,1,.5,1.5,30,10,20
110107041022721, ,21,21,21,5,2,1,2,142.5,121.5,21
110107041023021, ,10,11,21,1,.5,.5,0,31,11,20
110107041023321, ,31,31,31,4.5,1.5,1.5,1.5,34,13,21
110107041040121, ,11,22,41,8,3,2,3,142.5,121.5,21
110107041040421, ,10,11,21,2.5,.5,.5,1.5,31.5,11,20.5
110107041040721, ,21,11,21,0,0,0,0,143,122,21
110107041041021, ,21,22,31,.5,0,.5,0,142.5,121.5,21
110107041041321, ,99,11,31,3.5,1.5,1,1,142,121,21
110107041041621, ,10,11,21,0,0,0,0,30,10,20
110107041041921, ,21,31,31,4,1.5,1,1.5,34,13,21
110107041042221, ,21,21,31,3,1,1,1,142,121,21
110107041042521, ,99,11,21,1.5,.5,.5,.5,30.5,10.5,20
110107041042821, ,31,10,31,4.5,2,1.5,1,143,122,21
110107041043121, ,11,11,31,4,1.5,1.5,1,143,122,21
110107041043421, ,10,11,21,4.5,2,1,1.5,32,11,21
110107041050121, ,31,11,31,5.5,2,1,2.5,143,122,21
110107041050421, ,11,21,31,7,3,1,3,143,122,21
110107041050721, ,21,31,31,5,1.5,1.5,2,142.5,121.5,21
110107041051021, ,31,21,31,5,2,1.5,1.5,34,13,21
110107041051321, ,21,11,31,297,99,99,99,198,99,99
110107041051621, ,21,11,31,4.5,1.5,1.5,1.5,143,122,21
110107041051921, ,10,22,31,3,1,1,1,142,121,21
110107041052221, ,31,21,31,4.5,2,1,1.5,142.5,121.5,21
110107041052521, ,21,11,31,8,3,2,3,34,13,21
110107041052821, ,11,22,21,3.5,1.5,1,1,143,122,21
110107041053121, ,21,21,31,4.5,1.5,1.5,1.5,32,11,21
110107041053421, ,31,11,31,2.5,1.5,.5,.5,143,122,21
110107041060121, ,31,11,31,3.5,1,1,1.5,32,11,21
110107041060421, ,31,31,31,6,2,2,2,143,122,21
110107041060721, ,10,31,31,3.5,1.5,1,1,142,121,21
110107041061021, ,21,11,31,4,1.5,1,1.5,34.5,13,21.5
110107041061321, ,11,11,31,3,1,1,1,142,121,21
110107041061621, ,99,11,21,297,99,99,99,32,11,21
110107041061921, ,31,31,31,3,1,1,1,143,122,21
110107041062221, ,11,10,31,3,1,1,1,30,10,20
110107041062521, ,31,31,31,5,2,1,2,143,122,21
110107041062821, ,31,21,31,6.5,3,1,2.5,34,13,21
110107041063121, ,31,21,31,5.5,2.5,1,2,32,11,21
110107041063421, ,31,11,31,297,99,99,99,198,99,99
110107041063721, ,21,22,31,6.5,2.5,2,2,30,10,20
110107041070321, ,10,11,21,5,2,1,2,33.5,12,21.5
110107041070621, ,10,11,21,297,99,99,99,198,99,99
110107041070921, ,31,21,21,4,1.5,1,1.5,142,121,21
110107041071221, ,10,31,31,7.5,3,2,2.5,142,121,21
110107041071521, ,10,10,31,4,1,2,1,142,121,21
110107041071821, ,21,11,21,4,1.5,1,1.5,143,122,21
110107041072121, ,21,11,31,5.5,2,1.5,2,34.5,13,21.5
110107041072421, ,21,21,31,3.5,1.5,1,1,142.5,121.5,21
110107041072721, ,31,22,31,6.5,2.5,1.5,2.5,31,10.5,20.5
110107041073021, ,21,21,21,2.5,.5,1,1,143,122,21
110107041073321, ,31,11,31,4.5,2,1,1.5,34,13,21
110107041073621, ,11,11,31,2,.5,1,.5,31.5,11,20.5
110107041080321, ,31,10,21,0,0,0,0,31,11,20
110107041080621, ,31,21,21,6,2,2,2,142,121,21
110107041080921, ,31,11,31,0,0,0,0,30,10,20
110107041081221, ,10,21,31,4.5,1.5,1.5,1.5,30,10,20
110107041081521, ,10,11,99,297,99,99,99,198,99,99
110107041081821, ,31,21,31,5.5,2.5,1.5,1.5,143,122,21
110107041082121, ,10,22,21,4,2,1,1,142,121,21
110107041082421, ,31,21,21,297,99,99,99,143,122,21
110107041082721, ,21,21,31,3,1,1,1,142,121,21
110107041083021, ,21,11,31,6,2,2,2,32,11,21
110107041083321, ,10,12,31,5,2,1.5,1.5,143,122,21
110107041083621, ,21,11,31,4,1.5,1,1.5,30,10,20
110107041090221, ,99,10,99,297,99,99,99,198,99,99
110107041090521, ,31,31,31,4.5,1.5,1.5,1.5,34,13,21
110107041090821, ,31,11,21,6,2.5,1.5,2,142.5,121.5,21
110107041091121, ,21,31,31,3,1,1,1,142,121,21
110107041091421, ,21,11,31,297,99,99,99,198,99,99
110107041091721, ,31,31,31,4,1,1.5,1.5,34,13,21
110107041092021, ,41,41,41,297,99,99,99,198,99,99
110107041092321, ,21,21,31,3,1,1,1,142,121,21
110107041092621, ,31,22,41,4,1.5,1,1.5,142,121,21
110107041092921, ,10,11,31,297,99,99,99,142,121,21
110107041093221, ,31,31,31,4.5,2,1,1.5,143,122,21
110107041093521, ,31,22,31,6,2.5,1.5,2,143,122,21
110107041093821, ,10,21,21,4.5,2,1,1.5,34,13,21
110107041094121, ,31,21,31,5.5,2.5,1,2,32,11,21
110107041110221, ,11,31,31,3,1,1,1,142,121,21
110107041110521, ,11,11,21,297,99,99,99,30,10,20
110107041110821, ,21,31,31,5.5,2.5,1.5,1.5,142,121,21
110107041111121, ,11,11,21,4.5,2,1,1.5,30,10,20
110107041111421, ,11,31,32,7,3,2,2,143,122,21
110107041111721, ,31,21,31,3.5,1.5,1,1,143,122,21
110107041112021, ,11,31,31,5.5,2,1.5,2,142,121,21
110107041112321, ,31,21,31,5,2,1,2,142,121,21
110107041112621, ,41,12,31,3,1,1,1,32,11,21
110107041112921, ,21,21,21,4,2,1,1,142.5,121.5,21
110107041113221, ,31,31,21,2,.5,.5,1,142,121,21
110107041113521, ,31,21,41,4.5,1.5,1.5,1.5,143,122,21
110107041113821, ,31,11,31,3,1,1,1,143,122,21
110107041114121, ,10,11,31,1.5,1,.5,0,142.5,121.5,21
110107041120221, ,31,41,31,7.5,2.5,2,3,142,121.5,20.5
110107041120521, ,31,11,31,4,1.5,1,1.5,34.5,13,21.5
110107041120821, ,21,31,31,5.5,2,1.5,2,35,13,22
110107041121121, ,10,21,31,3,1,1,1,143,122,21
110107041121421, ,11,11,31,4,1.5,1,1.5,142,121,21
110107041121721, ,11,22,31,5,1.5,1.5,2,142,121,21
110107041122021, ,31,21,31,6,2,1.5,2.5,34.5,13,21.5
110107041122321, ,99,11,31,3,1,1,1,142,121,21
110107041122621, ,31,31,51,5,2.5,1,1.5,143,122,21
110107041122921, ,31,21,31,1,.5,.5,0,142.5,121.5,21
110107041123221, ,21,21,31,8,3,2,3,34,13,21
110107041123521, ,21,22,31,4,1.5,1,1.5,143,122,21
110107041123821, ,11,31,31,6.5,2.5,1.5,2.5,34,13,21
110107041124121, ,21,11,31,5.5,1.5,1.5,2.5,142.5,121.5,21
110107051010121, ,11,11,31,2.5,1,.5,1,143,122,21
110107051010421, ,99,99,99,297,99,99,99,198,99,99
110107051010721, ,21,12,31,297,99,99,99,143,122,21
110107051011321, ,99,99,99,297,99,99,99,198,99,99
110107051011621, ,10,11,31,297,99,99,99,198,99,99
110107051011921, ,10,10,21,297,99,99,99,30,10,20
110107051012221, ,21,21,31,3.5,1.5,1,1,142.5,121.5,21
110107051012521, ,31,22,31,1.5,.5,.5,.5,142,121,21
110107051012821, ,99,99,99,297,99,99,99,198,99,99
110107051013121, ,11,11,31,6,3,1,2,142,121,21
110107051013421, ,10,10,21,0,0,0,0,30,10,20
110107051013721, ,11,11,31,297,99,99,99,198,99,99
110107051014021, ,99,11,21,0,0,0,0,143,122,21
110107051020321, ,31,11,31,4,1.5,1,1.5,30.5,10.5,20
110107051020621, ,21,12,31,1,0,.5,.5,142.5,121.5,21
110107051020921, ,99,99,99,297,99,99,99,198,99,99
110107051021221, ,11,11,31,4.5,2,1,1.5,142,121,21
110107051021521, ,31,21,31,3.5,1,1,1.5,142.5,121.5,21
110107051021821, ,21,11,21,5.5,2.5,1,2,30,10,20
110107051022121, ,10,11,11,0,0,0,0,142,121,21
110107051022421, ,11,11,31,0,0,0,0,30,10,20
110107051022721, ,21,10,21,5,2,1,2,142,121,21
110107051023021, ,99,11,21,3,1,1,1,32,11,21
110107051023321, ,11,11,21,2.5,1,1,.5,30,10,20
110107051023621, ,31,11,21,297,99,99,99,198,99,99
110107051023921, ,11,12,31,2.5,1.5,.5,.5,141.5,121,20.5
110107051030221, ,31,21,21,0,0,0,0,30,10,20
110107051030521, ,21,11,99,0,0,0,0,30,10,20
110107051030821, ,10,11,31,0,0,0,0,30,10,20
110107051031121, ,31,11,21,5,1.5,1.5,2,198,99,99
110107051031421, ,11,11,31,4,2,1,1,32,11,21
110107051031721, ,99,10,11,0,0,0,0,31,10.5,20.5
110107051032021, ,10,10,21,3.5,1.5,1,1,30,10,20
110107051032321, ,99,99,99,297,99,99,99,198,99,99
110107051032621, ,10,10,21,0,0,0,0,198,99,99
110107051032921, ,99,99,99,297,99,99,99,198,99,99
110107051033221, ,31,31,21,5.5,2,1.5,2,142.5,121.5,21
110107051033521, ,11,11,21,0,0,0,0,30,10,20
110107051033821, ,99,99,99,297,99,99,99,30,10,20
110107051034121, ,21,11,21,.5,0,.5,0,30,10,20
110107051040321, ,31,22,41,5.5,2.5,1.5,1.5,34,13,21
110107051040621, ,31,21,31,7,3,1,3,143,122,21
110107051040921, ,99,99,99,297,99,99,99,198,99,99
110107051041221, ,21,11,31,3,1,1,1,142.5,121.5,21
110107051041521, ,99,11,31,4.5,1.5,1.5,1.5,32,11,21
110107051041821, ,10,21,51,4.5,2,1,1.5,143,122,21
110107051042121, ,21,11,21,1,1,0,0,30.5,10.5,20
110107051042421, ,11,11,21,3.5,1,1,1.5,142,121,21
110107051042721, ,21,21,21,3.5,1,1,1.5,32,11,21
110107051043021, ,21,21,31,5.5,2,1.5,2,34.5,13,21.5
110107051043321, ,11,21,31,6.5,2.5,1.5,2.5,34.5,13,21.5
110107051043621, ,21,21,31,4.5,1.5,1.5,1.5,142,121,21
110107051043921, ,21,21,31,2,1,0,1,143,122,21
110107051050121, ,21,10,21,7,3,2,2,142,121,21
110107051050421, ,21,22,21,4.5,1.5,1.5,1.5,142,121,21
110107051050721, ,31,11,31,6,2,2,2,34.5,13,21.5
110107051051021, ,21,31,31,4.5,1.5,1.5,1.5,142,121,21
