ticket_id,name,T2,T3,T31,T32,T33,T34,T35
140702071312721, ,4,99,99,0,0,0,0
140702071320921, ,6,3,1,0,0,0,2
140702071321421, ,6,99,99,0,0,0,0
140702071323321, ,4,5,1,1,1,0,2
140702071323921, ,0,1,1,0,0,0,0
140702071324521, ,2,6,1,1,0,2,2
140702071331521, ,2,4,1,0,1,0,2
140702081863421, ,6,1,0,0,1,0,0
140702081871621, ,99,4,1,0,1,0,2
140702081872921, ,4,4,1,1,0,0,2
140702081891521, ,0,3,1,0,0,0,2
140702081894421, ,99,495,99,99,99,99,99
140702081910221, ,4,1,0,0,1,0,0
140702081910821, ,4,4,1,0,1,0,2
140702051573521, ,99,495,99,99,99,99,99
140702051600521, ,4,1,1,0,0,0,0
140702051603421, ,99,495,99,99,99,99,99
140702061830821, ,99,1,1,0,0,0,0
140702061831521, ,99,99,99,0,0,0,0
140702061832021, ,99,495,99,99,99,99,99
140702061841021, ,0,495,99,99,99,99,99
140702031073721, ,0,1,1,0,0,0,0
140702031081321, ,4,4,1,0,1,0,2
140702031093721, ,0,1,0,0,1,0,0
140702031110121, ,0,1,1,0,0,0,0
140702031113621, ,0,1,0,0,1,0,0
140702031120621, ,4,3,1,0,0,0,2
140702131024021, ,99,99,99,0,0,0,0
140702131033521, ,4,0,0,0,0,0,0
140702131034021, ,0,3,0,1,0,0,2
140702131043821, ,99,495,99,99,99,99,99
140702131043921, ,0,495,99,99,99,99,99
140702131051221, ,6,99,99,0,0,0,0
140702131051821, ,99,495,99,99,99,99,99
140702141091021, ,4,1,0,0,1,0,0
140702141101421, ,99,99,99,0,0,0,0
140702081944221, ,4,1,1,0,0,0,0
140729131393821, ,4,0,0,0,0,0,0
140729151261621, ,0,1,1,0,0,0,0
140729071012721, ,2,1,1,0,0,0,0
140729071022621, ,99,495,99,99,99,99,99
140729071922121, ,0,495,99,99,99,99,99
140729071941521, ,4,495,99,99,99,99,99
140729071943821, ,4,495,99,99,99,99,99
140729071960121, ,0,99,99,0,0,0,0
140729071960721, ,0,4,1,0,1,2,0
140729071961921, ,4,1,0,0,1,0,0
140729071964321, ,0,1,1,0,0,0,0
140729071964921, ,2,1,1,0,0,0,0
140729071984921, ,4,3,1,0,0,0,2
140729071992421, ,2,495,99,99,99,99,99
110107041081021, ,4,1,0,0,1,0,0
110107041111821, ,2,495,99,99,99,99,99
110107041120621, ,4,5,1,0,2,0,2
110107041120721, ,6,5,1,1,1,0,2
110107041121321, ,99,0,0,0,0,0,0
110107041121921, ,4,2,1,1,0,0,0
110107041123021, ,2,5,1,1,1,0,2
110107041123721, ,4,99,99,0,0,0,0
110107041124221, ,6,4,1,0,1,0,2
110107061022121, ,4,4,1,1,0,0,2
110107061060721, ,6,2,0,0,0,2,0
110107071031321, ,2,1,1,0,0,0,0
110107051021721, ,0,1,0,1,0,0,0
110107051031821, ,99,495,99,99,99,99,99
110107051050921, ,2,99,99,0,0,0,0
110107061020921, ,4,4,1,0,1,0,2
110107021033121, ,6,5,1,0,0,2,2
110107031013221, ,6,4,1,1,0,0,2
110107031032221, ,99,5,1,0,0,2,2
110107031033421, ,99,99,99,0,0,0,0
110107041021121, ,4,1,1,0,0,0,0
110107041042021, ,4,99,99,0,0,0,0
110107041052121, ,4,6,1,0,1,2,2
110107041060921, ,4,4,1,1,0,0,2
140702091800921, ,0,3,0,0,1,0,2
140702091803921, ,2,3,1,0,0,0,2
140702091833021, ,2,4,1,1,0,0,2
140702091851021, ,99,495,99,99,99,99,99
140702101512321, ,6,2,1,1,0,0,0
140702101512821, ,0,1,1,0,0,0,0
140702101535021, ,4,99,99,0,0,0,0
140702101551721, ,99,495,99,99,99,99,99
140702101561321, ,99,1,1,0,0,0,0
140702101562521, ,4,1,1,0,0,0,0
140702101563621, ,0,5,1,0,2,0,2
140702101564221, ,0,3,1,0,0,2,0
140702101583121, ,0,495,99,99,99,99,99
140702101594021, ,0,1,1,0,0,0,0
140702101610221, ,99,495,99,99,99,99,99
140702101610821, ,99,99,99,0,0,0,0
140702101614521, ,4,1,0,0,1,0,0
140702111343021, ,4,1,0,0,1,0,0
140702111371721, ,4,0,0,0,0,0,0
140702111391521, ,99,495,99,99,99,99,99
140702111402521, ,0,99,99,0,0,0,0
140702111403621, ,0,5,1,0,0,2,2
140702111422021, ,4,1,1,0,0,0,0
140702111440521, ,2,1,1,0,0,0,0
140702121621821, ,0,99,99,0,0,0,0
140702121622421, ,0,3,1,0,0,0,2
140702121623721, ,4,4,1,1,0,0,2
140702121624221, ,99,99,99,0,0,0,0
140702121653521, ,4,4,1,1,0,0,2
140702121662421, ,99,7,1,0,2,2,2
140702121681121, ,4,5,1,1,1,0,2
140702121683521, ,0,6,1,0,1,2,2
140702121714321, ,4,3,0,0,1,0,2
140702121724521, ,4,3,0,0,1,0,2
140702131011621, ,0,1,1,0,0,0,0
140702131022821, ,0,0,0,0,0,0,0
140702171160621, ,4,2,0,0,0,2,0
140702191022021, ,4,99,99,0,0,0,0
140702191022121, ,99,0,0,0,0,0,0
140702191041521, ,4,3,1,0,0,0,2
140702191043221, ,4,3,0,1,0,0,2
140702201992721, ,0,1,1,0,0,0,0
140702211232321, ,4,495,99,99,99,99,99
140702211240121, ,99,495,99,99,99,99,99
140702221212821, ,0,1,1,0,0,0,0
140729021980521, ,6,4,1,1,0,0,2
140729041462021, ,4,99,99,0,0,0,0
140729041481721, ,2,1,1,0,0,0,0
140729041485321, ,0,99,99,0,0,0,0
140729041490421, ,2,99,99,0,0,0,0
140729041491621, ,99,0,0,0,0,0,0
140729051781621, ,6,3,0,0,1,0,2
140729051781721, ,99,99,99,0,0,0,0
140729061642521, ,4,2,1,1,0,0,0
140729061660721, ,0,99,99,0,0,0,0
140729071010221, ,4,3,1,0,0,0,2
140702201001221, ,2,99,99,0,0,0,0
140702201011321, ,6,1,1,0,0,0,0
140702201011921, ,99,495,99,99,99,99,99
140702201013721, ,99,99,99,0,0,0,0
140702201990221, ,4,0,0,0,0,0,0
140702201990321, ,0,495,99,99,99,99,99
140702151061621, ,99,495,99,99,99,99,99
140702151063421, ,99,99,99,0,0,0,0
140702151072221, ,99,495,99,99,99,99,99
140702151080221, ,99,495,99,99,99,99,99
140702151080921, ,99,495,99,99,99,99,99
140702161541321, ,99,495,99,99,99,99,99
140702161552521, ,99,495,99,99,99,99,99
140702161562321, ,99,99,99,0,0,0,0
140702161563521, ,4,3,0,0,1,0,2
140702171112721, ,6,1,1,0,0,0,0
140702171113821, ,99,99,99,0,0,0,0
140702171141621, ,0,495,99,99,99,99,99
140702171141721, ,99,1,1,0,0,0,0
110107081082421, ,2,4,1,0,1,0,2
110107091030321, ,99,99,99,0,0,0,0
110107091040421, ,99,1,0,0,1,0,0
110107101010621, ,4,3,1,0,0,0,2
110107101012521, ,6,8,1,1,2,2,2
110107101041221, ,0,3,1,0,0,0,2
110107101051221, ,99,495,99,99,99,99,99
110107101060121, ,4,1,0,0,1,0,0
110107101061921, ,0,7,1,0,2,2,2
110107101063021, ,4,3,1,0,0,0,2
110107101063121, ,4,3,1,0,0,0,2
110107101080221, ,4,6,1,0,1,2,2
110107121011121, ,4,6,1,1,0,2,2
110107121021921, ,2,1,1,0,0,0,0
110107121042421, ,2,495,99,99,99,99,99
110107131030421, ,0,1,1,0,0,0,0
110107151023921, ,2,1,1,0,0,0,0
110107151030621, ,6,4,1,0,1,0,2
110107151050421, ,2,1,0,0,1,0,0
110107151060721, ,2,5,1,0,0,2,2
140702011532221, ,0,1,1,0,0,0,0
140702011533521, ,0,3,1,0,0,0,2
140702011542521, ,6,5,1,1,1,0,2
140702011551021, ,6,8,1,1,2,2,2
140702011554721, ,2,0,0,0,0,0,0
140702011560821, ,2,0,0,0,0,0,0
140702011563221, ,4,1,1,0,0,0,0
140702011570221, ,99,495,99,99,99,99,99
140702011570321, ,4,7,1,0,2,2,2
140702041040821, ,4,0,0,0,0,0,0
140702041045121, ,99,495,99,99,99,99,99
140702041072821, ,0,495,99,99,99,99,99
140702041074021, ,4,495,99,99,99,99,99
140702041075321, ,99,0,0,0,0,0,0
140702041084821, ,4,1,0,1,0,0,0
140702041090821, ,99,0,0,0,0,0,0
140702061842821, ,4,1,1,0,0,0,0
140702061873121, ,0,3,1,0,0,2,0
330300291011521, ,4,3,1,0,0,0,2
330300291012021, ,99,0,0,0,0,0,0
330300291013221, ,4,3,0,0,1,0,2
330300301120221, ,6,3,1,0,0,0,2
330300311021521, ,4,5,1,0,0,2,2
330300281084621, ,99,495,99,99,99,99,99
330300281120121, ,4,4,1,0,1,0,2
330300281121221, ,6,3,1,0,0,0,2
330300281172621, ,6,495,99,99,99,99,99
330300281173321, ,99,99,99,0,0,0,0
330300251052621, ,4,99,99,0,0,0,0
330300251053921, ,4,5,1,0,2,0,2
330300251121621, ,4,99,99,0,0,0,0
330300251152821, ,6,3,1,0,0,0,2
330300251154121, ,6,4,1,1,0,0,2
330300251161721, ,2,1,1,0,0,0,0
330300321021621, ,99,495,99,99,99,99,99
330300321040321, ,99,99,99,0,0,0,0
330300331061221, ,0,3,1,0,0,0,2
330300331063721, ,4,0,0,0,0,0,0
330300331141021, ,0,5,1,0,0,2,2
330300331142921, ,4,1,1,0,0,0,0
330300331151121, ,4,1,1,0,0,0,0
330300331161121, ,0,3,1,0,0,0,2
6, ,99,495,99,99,99,99,99
110107041083421, ,6,495,99,99,99,99,99
110107041093021, ,4,5,1,0,2,0,2
110107041113621, ,6,4,1,0,1,0,2
110107051012021, ,4,3,0,0,1,0,2
110107051012721, ,0,2,0,0,0,2,0
110107061043021, ,4,2,1,0,1,0,0
110107061061921, ,0,3,1,0,0,0,2
110107061081721, ,0,2,0,0,0,0,2
110107061082221, ,2,2,1,1,0,0,0
110107071011621, ,0,5,1,0,2,0,2
110107071012321, ,2,6,1,0,1,2,2
